ID,Name,Age,Gender,ZipCode,Education,Nationality,Salary
53543,Mark Harrison,51,Male,18012,High School,Slovenia,31189
58728,John Trevino,54,Male,18798,High School,Turkey,48423
71912,Danielle Miller,58,Female,18756,Master,British Indian Ocean Territory (Chagos Archipelago),92310
83958,Jack King,33,Male,17584,Bachelor,Sri Lanka,47282
60066,Michael Stevenson,53,Male,16492,Master,El Salvador,69502
56891,Melanie Duncan,43,Female,18663,Bachelor,Sri Lanka,94800
7306,Mary Arroyo,36,Female,16143,High School,Finland,113061
74075,Michael Alexander,54,Male,19183,High School,Trinidad and Tobago,107537
25961,John Ramirez,32,Male,18231,Bachelor,Angola,107885
96215,Carrie Barnes,36,Female,15957,High School,British Indian Ocean Territory (Chagos Archipelago),84612
68056,John Lynch,23,Male,15603,High School,Equatorial Guinea,119688
70490,Joseph Martin,56,Male,19598,Master,Israel,51772
4492,Thomas Lewis,22,Male,16342,Bachelor,Greenland,100905
18808,Sarah Bennett,35,Female,16686,Bachelor,Rwanda,66134
47829,Emily Mcdonald DVM,25,Female,18697,Bachelor,Israel,44662
47474,Kathleen Medina,46,Female,17608,High School,Isle of Man,56768
86573,Sarah Nixon,21,Female,15886,High School,South Africa,82533
93539,Linda Norris,57,Female,17133,Master,Angola,31854
27706,Brian Heath,37,Male,17345,High School,Vietnam,31821
65687,Christopher Simmons MD,20,Male,19305,High School,Bhutan,58849
63117,Darren Lyons,30,Male,16089,Bachelor,Egypt,59584
24000,Brittany Scott,30,Female,19546,High School,Angola,112909
64266,Amber Rivers,44,Female,18714,PhD,French Polynesia,46003
28439,Christopher Newman,22,Male,19632,High School,Nigeria,99443
86996,Amanda Shaw,38,Female,16607,Bachelor,Samoa,101694
67297,Matthew Wilson,51,Male,18210,Master,Japan,102163
92301,Kaitlyn Matthews,23,Female,17836,High School,Barbados,118387
95967,Bradley Ruiz,24,Male,17964,High School,Samoa,73750
70720,Christopher Daugherty,44,Male,15645,Bachelor,Sri Lanka,56523
85484,Thomas Snow,59,Male,18852,High School,Panama,112045
2564,Wyatt Brown,33,Male,18751,High School,Angola,111223
84173,Lisa Jennings,25,Female,17393,Bachelor,Hungary,65738
57575,William Sanchez,21,Male,16039,High School,Uzbekistan,115665
39832,Spencer Harrison,24,Male,16528,High School,Liberia,40585
81267,Steven Olsen,24,Male,18429,High School,Barbados,96798
36018,Melissa Singh,32,Female,19245,High School,Samoa,47346
22502,Dean Clark MD,44,Male,17379,High School,Faroe Islands,86828
73125,Jessica Hernandez,23,Female,18092,High School,British Indian Ocean Territory (Chagos Archipelago),67163
55051,Michael Becker,45,Male,17752,PhD,Bahamas,69359
50896,Amanda Montgomery,56,Female,18297,High School,Reunion,105904
20048,Robert Humphrey,31,Male,18582,Bachelor,Timor-Leste,51197
97956,Rhonda Holt,26,Female,18213,High School,Gibraltar,42858
73458,Calvin Rodriguez,33,Male,16285,High School,Guadeloupe,108735
44353,John Nguyen,35,Male,17538,High School,Benin,84009
21414,Jocelyn Cummings,22,Female,19899,High School,Libyan Arab Jamahiriya,96325
95084,Maurice Gibson,27,Male,18584,High School,Argentina,78258
57675,Stephen Garcia,29,Male,19180,Bachelor,Mauritania,111640
16805,Joshua Gonzalez,48,Male,18335,Bachelor,Timor-Leste,106233
15374,Heidi Mcdonald,31,Female,18319,Bachelor,South Africa,109338
45904,Mrs. Ashley Booker,20,Female,19964,PhD,Isle of Man,87818
