ID,Name,Age,Gender,ZipCode,Education,Nationality,Salary
13587,Kristin Brown,52,Female,15737,High School,Holy See (Vatican City State),101207
28695,Carol Smith,37,Female,15907,Bachelor,Isle of Man,43466
74300,Kenneth Cox,37,Male,19226,Master,Ghana,56278
53369,Dana Burton,34,Female,19545,Master,Equatorial Guinea,49487
45740,Dennis Mendoza,31,Male,17256,High School,Barbados,42008
78936,William Norton,30,Male,16177,Master,Solomon Islands,116584
15561,Stephanie Santos,37,Female,18630,High School,Cambodia,82721
70165,Kelly Johnson,40,Female,18898,Bachelor,Cape Verde,72121
68480,Laura Hess,45,Female,19762,Bachelor,Saint Martin,30143
78610,Sharon Bowman,49,Female,15964,High School,Cape Verde,105297
