ID,Name,Age,Gender,ZipCode,Education,Nationality,Salary
66191,Phillip Fox,45,Male,15680,Bachelor,Saint Barthelemy,109305
56541,Carl Rodriguez,49,Male,16000,High School,Luxembourg,71843
18057,Erin Mcclain,46,Female,17061,PhD,Qatar,41298
30814,David Miller,38,Male,19119,Bachelor,Ghana,40840
79057,Donna Fields,60,Female,19369,High School,Isle of Man,40762
15029,Kathy Johnson,21,Female,15516,PhD,Cape Verde,35732
42019,Carrie White,44,Female,16212,High School,Zimbabwe,88275
95787,Krystal Mora,35,Female,16266,High School,Argentina,75282
77125,Eric Arnold,42,Male,17786,High School,Nigeria,41311
15246,Meagan Williams,59,Female,15737,Bachelor,Burkina Faso,39331
58328,Melanie Garcia,48,Female,15568,PhD,Faroe Islands,99230
70061,Christopher Lee,29,Male,19381,High School,Iceland,75849
6947,Lori Perez,52,Female,17852,Bachelor,Nigeria,107839
74515,Mary Davis,31,Female,16084,Bachelor,Saint Pierre and Miquelon,68320
87602,Jennifer Nunez,46,Female,17557,Bachelor,Saint Martin,119429
61524,Sherry Mathews,52,Female,19703,Bachelor,Guadeloupe,54826
37231,Wesley Torres,42,Male,16509,Master,Iceland,116572
46943,Shirley Sawyer,30,Female,15583,PhD,Thailand,54633
63924,Kimberly Jackson,50,Female,18802,High School,Ghana,30630
25537,Melissa Collins,33,Female,17371,Master,Nigeria,69411
68234,Jason Davis,39,Male,16728,Bachelor,Ghana,40774
10189,Michele Newton,29,Female,17136,High School,Equatorial Guinea,72479
58767,Christina Ortiz,35,Female,18896,High School,Benin,54628
76754,Mark Zimmerman,51,Male,18762,High School,Burkina Faso,81585
36428,Michael Diaz,58,Male,16593,Bachelor,Faroe Islands,116788
42513,Daniel Andrade,51,Male,16621,High School,Egypt,32936
75165,Lauren Morgan,35,Female,16218,High School,Syrian Arab Republic,112442
73012,Tara Cooper,38,Female,19551,High School,Angola,51880
79100,Kimberly Norton,36,Female,18890,High School,South Africa,92989
96616,Brittany Carroll,58,Female,18074,High School,United Arab Emirates,105552
36611,Terry Heath,42,Male,17063,High School,Greenland,96935
81154,Justin Bishop,26,Male,17250,High School,Argentina,36347
48301,Brian Fleming,26,Male,19365,Bachelor,Greenland,37639
28280,Veronica Schmitt,56,Female,17729,Master,United States of America,40555
81259,Diane Gomez,49,Female,17135,High School,Holy See (Vatican City State),118812
79217,Kathleen Morrow,37,Female,16339,High School,Belgium,78902
40927,Richard Tran,51,Male,16496,Bachelor,Luxembourg,97137
93965,Donald Edwards,51,Male,17938,Bachelor,Argentina,31254
65518,Brandon Williams,23,Male,17897,High School,Gabon,101042
87361,Brandon Pierce,36,Male,19923,High School,Israel,113219
36723,Karen Jenkins,26,Female,17347,Master,Angola,81325
46096,Michelle Williams,39,Female,18926,Master,Norway,62200
23880,Jeffrey Jones,38,Male,16416,Bachelor,Samoa,99460
33361,Scott Medina,34,Male,15530,Bachelor,Cambodia,71124
85660,Kyle Owens,23,Male,19576,Bachelor,Israel,82750
10477,Mrs. Jamie Wallace,48,Female,15560,Bachelor,Thailand,82253
42069,Toni Mccann,57,Female,16326,High School,Antigua and Barbuda,108660
45455,Tyler Mcbride,22,Male,17167,High School,Panama,69506
12484,Tyler Hess,60,Male,15662,High School,Zimbabwe,118031
96822,Daniel Robbins,32,Male,17647,PhD,Guernsey,71387
93617,Steve Lyons,49,Male,18513,Master,Faroe Islands,56249
87500,Kimberly Buckley,50,Female,17837,Bachelor,Belarus,39047
94905,Christopher Massey,52,Male,16161,Bachelor,China,64060
69593,Kayla Fritz,60,Female,16772,High School,Sao Tome and Principe,41477
